,Profit,Recency,Frequency,Monetary,Variance,SegmentId
592,42424,2,69,4913887.25,105,2
593,612,7,11,44265.86,36,1
594,1176,33,13,21438.76,31,1
595,46,18,8,723.82,9,0
596,641,5,23,21728.42,19,1
597,182,20,10,3786.27,15,0
598,693,5,16,25026.56,30,1
599,533,2,21,9173.21,11,1
600,422,4,11,17958.07,34,1
601,13,6,2,54.55,2,0
602,266,5,15,14625.99,20,1
603,15,70,1,8.22,1,0
604,12,56,1,113.22,1,0
605,226,42,2,29800.0,23,0
606,308,9,21,12031.19,20,1
607,300,4,2,6999.14,3,0
608,851,2,13,36543.55,22,1
609,23,28,3,214.02,3,0
610,82,13,7,1308.4,5,0
611,334,27,10,3516.8,8,0
612,348,3,10,22681.99,17,1
613,802,4,14,42685.6,25,1
614,6,3,1,59.04,1,0
615,59,33,3,1253.43,4,0
616,153,21,8,2219.76,9,0
617,154,6,4,1821.44,5,0
618,16,6,4,476.17,2,0
619,100,53,1,389.75,1,0
620,295,7,10,5459.98,8,0
621,501,4,11,34773.63,29,1
622,319,5,12,9566.5,7,1
623,609,9,2,75576.31,20,0
624,249,6,1,33891.9,21,1
625,409,3,22,13890.79,12,1
626,829,5,12,47589.88,27,1
627,6,25,1,49.99,1,0
628,306,3,20,2669.32,10,1
629,1788,4,16,24040.96,16,1
630,12,3,2,69.34,2,0
631,180,6,12,6622.84,16,1
632,16,58,1,337.2,3,0
633,356,5,20,11757.76,25,1
634,155,12,8,5097.82,9,0
635,374,7,19,7470.72,7,1
636,117,45,2,1347.36,3,0
637,37,34,1,2353.96,4,0
638,419,12,3,47288.16,28,1
639,297,4,17,7056.07,7,1
640,108,13,6,3748.34,13,0
641,960,5,3,5359.8,2,0
642,270,7,12,17550.35,18,1
643,18,48,2,856.47,2,0
644,85,13,4,2494.91,9,0
645,38,39,4,355.96,3,0
646,26,89,1,259.56,2,0
647,202,4,10,3925.34,13,1
648,417,42,7,26944.74,20,0
649,268,5,4,8330.38,6,0
650,14,5,5,190.7,5,0
651,4583,1,62,146783.76,41,1
652,3564,4,36,132322.71,33,1
653,224,10,4,18670.41,16,0
654,255,48,2,1334.37,2,0
655,495,6,18,14419.81,33,1
656,153,10,4,2103.76,7,0
657,396,7,12,15963.75,18,1
658,498,7,24,18689.9,24,1
659,111,3,7,3041.54,13,0
660,298,10,17,7018.58,8,1
661,711,3,11,56469.19,44,1
662,578,6,13,26605.82,32,1
663,82,2,8,1215.63,5,0
664,4,61,1,37.74,1,0
665,272,6,13,7558.83,13,1
666,369,18,16,13630.23,22,1
667,465,3,12,20418.93,18,1
668,2811,3,55,51545.76,40,1
669,62,42,8,1253.38,7,0
670,8,25,1,96.98,1,0
671,567,4,13,9852.13,19,1
672,661,3,11,23325.34,19,1
673,1648,5,16,161603.86,47,1
674,188,5,12,7667.15,8,1
675,323,1,3,12149.47,8,0
676,366,7,12,21566.29,19,1
677,44,35,4,385.94,3,0
678,1711,12,16,128976.58,50,1
679,797,6,11,13192.55,13,1
680,42583,2,61,6538312.08,100,2
681,2,73,1,37.18,1,0
682,24,73,1,429.6,2,0
683,190,69,1,3568.1,2,0
684,282,6,18,8242.13,14,1
685,61,3,8,2173.11,7,0
686,35,3,5,741.39,6,0
687,82,41,3,2460.26,5,0
688,6630,4,26,286682.22,80,1
689,655,5,14,36381.7,34,1
690,20,54,1,573.66,3,0
691,374,2,32,20572.07,17,1
692,554,21,15,17710.41,21,1
693,429,3,10,13845.82,25,1
694,18,11,2,192.42,2,0
695,41,17,4,894.8,7,0
696,49,14,7,373.6,3,0
697,417,7,9,24404.75,23,1
698,177,5,14,2291.94,11,0
699,94,55,2,2451.87,4,0
700,536,5,13,24344.84,25,1
701,355,7,13,7441.68,11,0
702,154,10,4,2921.74,8,0
703,87,56,5,1863.75,6,0
704,2963,3,41,71831.96,43,1
705,300,4,2,6999.14,3,0
706,52,12,6,1131.18,6,0
707,153,13,13,2812.06,21,0
708,72,5,11,2695.89,9,0
709,58,40,5,560.23,6,0
710,49,5,7,585.05,7,0
711,410,6,15,12652.32,37,1
712,540,16,14,22534.92,14,1
713,212,3,11,5591.82,15,1
714,931,5,13,31876.83,38,1
715,194,5,8,6583.0,13,0
716,799,11,7,13767.12,15,0
717,12,6,2,182.24,2,0
718,148,7,15,2974.93,12,0
719,69,4,6,3292.09,9,0
720,303,7,5,3701.02,9,0
721,50,35,3,2706.79,7,0
722,30,88,1,427.66,2,0
723,54,2,3,1036.29,3,0
724,294,6,12,17959.06,25,1
725,39,24,4,689.98,7,0
726,607,6,14,9282.66,15,1
727,151,10,10,2500.82,12,0
728,68,2,6,595.58,2,0
729,2684,46,4,39361.26,7,0
730,100,3,2,565.69,2,0
731,946,10,17,28362.6,23,1
732,59,30,11,1214.61,8,0
733,61,12,10,1216.07,6,0
734,81,5,2,1303.58,4,0
735,437,11,8,19620.17,24,1
736,954,3,26,19262.05,32,1
737,139,7,14,3339.0,8,0
738,143,7,3,3724.87,6,0
739,101,9,4,1965.65,8,0
740,90,3,10,3868.92,12,1
741,284,7,11,12529.15,15,1
742,4,3,1,37.74,1,0
743,1169,6,11,83941.07,43,1
744,877,3,13,41848.83,40,1
745,432,1,3,13924.72,10,0
746,1255,5,14,43522.34,45,1
747,78,4,8,1275.44,7,0
748,499,4,24,30801.35,24,1
749,243,5,12,8967.4,21,1
750,270,7,19,8006.09,15,1
751,72,6,9,2246.53,11,0
752,204,17,7,4669.45,16,0
753,35,3,14,483.92,4,0
754,300,4,2,6999.14,3,0
755,65,7,11,904.14,7,0
756,300,4,2,6999.14,3,0
757,10,25,1,56.03,1,0
758,839,5,13,64598.08,21,1
759,1386,4,29,50410.74,39,1
760,352,18,2,13366.85,12,0
761,29,7,7,415.96,4,0
762,1259,3,9,67930.2,31,1
763,35,2,16,718.11,7,1
764,99,5,2,4103.49,7,0
765,643,12,13,47816.01,38,1
766,680,51,1,3399.66,1,0
767,115,2,11,3170.0,11,1
768,572,7,10,43445.58,42,1
769,90,41,6,1589.2,11,0
770,245,11,4,20805.98,21,0
771,749,5,13,45893.69,24,1
772,2290,2,27,146511.19,37,1
773,1113,6,18,57805.32,30,1
774,53,21,9,1323.2,8,0
775,749,35,7,18613.41,14,0
776,713,5,13,44982.08,38,1
777,1464,5,13,110315.39,38,1
778,1301,4,13,108995.11,50,1
779,66,5,7,2775.94,6,0
780,12,33,2,126.14,2,0
781,1352,5,15,62524.44,47,1
782,304,6,10,5452.0,11,0
783,468,4,22,12570.79,18,1
784,639,4,29,16012.14,14,1
785,13,4,2,239.32,2,0
786,24,43,1,195.06,1,0
787,44,5,4,1145.18,6,0
788,244,4,18,4869.39,18,1
789,86,10,13,1389.97,10,0
790,10,35,1,191.52,2,0
791,235,7,9,4377.9,4,0
792,161,62,3,3226.87,6,0
793,75,24,3,1360.17,5,0
794,73,6,4,2032.24,7,0
795,1723,4,29,15160.78,27,1
796,1238,3,34,24602.59,44,1
797,77,5,6,1241.98,6,0
798,390,47,3,2240.72,3,0
799,560,7,14,27237.69,32,1
800,364,3,17,10805.85,27,1
801,751,14,16,29301.48,30,1
802,40,12,1,2870.8,3,0
803,40,59,1,247.98,1,0
804,78,87,1,2844.18,6,0
805,170,14,3,1825.74,6,0
806,5,58,1,191.7,2,0
807,187,11,12,6793.07,15,1
808,868,3,22,46744.22,44,1
809,6,49,1,49.99,1,0
810,216,47,2,2068.02,3,0
811,17,23,2,593.44,4,0
812,323,6,10,10230.92,10,1
813,1028,7,13,82215.45,55,1
814,244,2,12,8753.54,21,1
815,59,5,4,1031.92,4,0
816,62,5,6,554.03,5,0
817,1376,3,33,73409.21,53,1
818,1764,7,17,93410.59,60,1
819,381,5,12,9793.63,8,1
820,93,7,9,4375.47,14,0
821,1085,5,12,87560.52,39,1
822,652,2,20,19712.18,18,1
823,444,3,23,10238.08,15,1
824,21,42,2,1208.89,6,0
825,546,5,15,36921.52,24,1
826,1274,3,15,71580.38,48,1
827,88,52,4,1526.73,5,0
828,27786,12,15,8145307.54,94,2
829,132,32,2,5728.32,5,0
830,250,2,15,6976.49,18,1
831,448,21,6,2868.52,6,0
832,106,5,10,1720.64,7,0
833,263,5,13,9835.83,8,1
834,1432,5,15,137346.24,32,1
835,2652,25,8,68881.43,5,0
836,294,14,10,13095.87,20,1
837,133,6,8,1969.6,6,0
838,106,6,8,5215.4,11,0
839,3021,6,19,244349.05,65,1
840,213,12,6,7665.88,17,0
841,15,10,1,278.85,1,0
842,213,12,10,7188.65,22,1
843,220,6,9,9481.37,9,0
844,192,4,19,3791.97,13,1
845,18,47,2,161.1,1,0
846,1478,4,24,90326.14,56,1
847,75,49,8,874.25,7,0
848,355,5,13,13288.95,23,1
849,375,6,9,16475.31,8,0
850,41,5,9,705.26,7,0
851,151,20,3,3568.77,4,0
852,102,3,6,1914.9,8,0
853,1767,5,22,97272.49,60,1
854,188,6,17,6303.24,9,1
855,15,76,1,70.39,1,0
856,728,5,16,32955.25,34,1
857,140,10,7,4532.66,9,0
858,527,4,9,58293.79,34,1
859,120,4,3,812.4,1,0
860,1881,5,16,105506.26,59,1
861,573,5,9,64052.41,31,1
862,829,4,24,20503.36,15,1
863,827,6,17,47474.76,26,1
864,377,59,4,3966.05,6,0
865,451,10,12,21288.87,27,1
866,636,5,9,28069.56,38,1
867,25428,34,7,142547.06,7,0
868,1,32,1,7.89,1,0
869,580,4,18,14664.93,31,1
870,148,7,11,3639.95,13,0
871,653,6,12,31333.94,15,1
872,64,13,12,1060.49,7,0
873,1259,7,17,52100.2,43,1
874,356,3,24,9277.15,13,1
875,150,5,6,3720.72,4,0
876,10,17,2,197.88,2,0
877,355,4,13,22050.02,15,1
878,42397,3,52,779346.49,98,2
879,300,4,2,6999.14,3,0
880,78,48,4,3660.77,8,0
881,300,4,2,6999.14,3,0
882,30,6,3,892.01,8,0
883,781,4,10,39485.52,35,1
884,4,17,1,37.74,1,0
